Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
Electric Power Development,4.166,6.738,0.4113,21.391,1348,Utilities,Electric Utilities,Asia,Japan,2017
Hexagon,14.674,3.486,0.6349,8.347,1348,Industrials,Other Industrial Equipment,Europe,Sweden,2017
Ahli United Bank,5.939,1.608,0.5431,31.322,1350,Financials,Regional Banks,Asia,Bahrain,2017
Kerry Properties,5.433,1.814,0.8422,22.268,1351,Industrials,Construction Services,Asia,Hong Kong,2017
Yuanta Financial Holding,5.152,3.266,0.4159,67.09,1351,Financials,Investment Services,Asia,Taiwan,2017
Airports of Thailand,16.413,1.467,0.5677,4.818,1353,Industrials,Other Transportation,Asia,Thailand,2017
CR Bard,18.034,3.714,0.5288,5.306,1354,Health Care,Medical Equipment & Supplies,North America,United States,2017
Hanwha Chemical,3.825,7.98,0.651,11.441,1355,Materials,Diversified Chemicals,Asia,South Korea,2017
Noble Group,1.752,46.515,-0.0121,12.357,1355,Industrials,Conglomerates,Asia,Hong Kong,2017
Frontier Communications,2.417,8.896,-0.376,30.152,1357,Telecommunication Services,Telecommunications services,North America,United States,2017
Ulta Salon Cosmetcs & Fragrance,17.677,4.855,0.4098,2.615,1358,Consumer Discretionary,Specialty Stores,North America,United States,2017
Crown Holdings,7.36,8.294,0.496,9.599,1359,Materials,Containers & Packaging,North America,United States,2017
Kintetsu,6.937,11.207,0.186,16.235,1360,Industrials,Railroads,Asia,Japan,2017
Starwood Property Trust,5.89,0.786,0.3631,77.256,1361,Financials,Real Estate,North America,United States,2017
Arthur J. Gallagher,10.11,5.585,0.4144,11.49,1362,Financials,Insurance Brokers,North America,United States,2017
Johnson Matthey,7.264,15.02,0.3275,5.639,1363,Materials,Diversified Chemicals,Europe,United Kingdom,2017
UGI,8.605,5.762,0.4808,11.3,1364,Utilities,Natural Gas Utilities,North America,United States,2017
Grupo Televisa,15.783,5.151,0.1991,14.896,1365,Consumer Discretionary,Broadcasting & Cable,North America,Mexico,2017
JB Hunt Transport,10.138,6.555,0.4321,3.921,1365,Industrials,Trucking,North America,United States,2017
Iliad,13.078,5.224,0.4437,8.682,1367,Information Technology,Computer Services,Europe,France,2017
Next,7.331,5.461,0.8468,3.025,1367,Consumer Discretionary,Department Stores,Europe,United Kingdom,2017
Arca Continental,12.479,5.011,0.4833,6.786,1369,Consumer Staples,Beverages,North America,Mexico,2017
Uralkali,8.264,2.273,1.4489,8.682,1370,Materials,Specialized Chemicals,Asia,Russia,2017
Xilinx,14.06,2.311,0.6141,4.836,1371,Information Technology,Semiconductors,North America,United States,2017
AAC Technologies Holdings,14.358,2.321,0.6021,3.49,1372,Information Technology,Electronics,Asia,China,2017
Gudang Garam,9.85,5.735,0.502,4.673,1373,Consumer Staples,Tobacco,Asia,Indonesia,2017
Banco Davivienda,4.79,3.326,0.5633,31.162,1374,Financials,Regional Banks,South America,Colombia,2017
Mead Johnson Nutrition,16.398,3.743,0.5426,4.088,1374,Consumer Staples,Household/Personal Care,North America,United States,2017
Essex Property Trust,15.303,1.304,0.415,12.217,1376,Financials,Real Estate,North America,United States,2017
Amcor,13.28,9.348,0.2204,8.622,1377,Materials,Containers & Packaging,Australia,Australia,2017
Financiere de l'Odet,5.41,11.145,0.2522,22.184,1378,Industrials,Conglomerates,Europe,France,2017
DCC,7.814,15.797,0.2872,6.564,1379,Industrials,Conglomerates,Europe,Ireland,2017
Geberit,15.22,2.851,0.5565,3.543,1380,Materials,Construction Materials,Europe,Switzerland,2017
Alfresa Holdings,3.981,23.528,0.3056,11.343,1381,Health Care,Pharmaceuticals,Asia,Japan,2017
Mitsui OSK Lines,3.683,13.589,-1.5159,18.788,1381,Industrials,Other Transportation,Asia,Japan,2017
ICA Gruppen,6.766,12.107,0.3986,8.379,1383,Consumer Staples,Food Retail,Europe,Sweden,2017
E.Sun Financial,5.31,1.675,0.4073,58.466,1384,Financials,Regional Banks,Asia,Taiwan,2017
Fluor,7.252,19.036,0.2814,9.495,1384,Industrials,Construction Services,North America,United States,2017
Saudi Arabian Mining,12.659,2.534,0.1068,25.874,1386,Materials,Diversified Metals & Mining,Asia,Saudi Arabia,2017
Partners Group Holding,14.729,1.107,0.5665,1.897,1387,Financials,Investment Services,Europe,Switzerland,2017
Mashreq Bank,3.867,2.446,0.5245,33.438,1388,Financials,Regional Banks,Asia,United Arab Emirates,2017
Noble Energy,15.059,3.388,-0.998,21.442,1389,Energy,Oil & Gas Operations,North America,United States,2017
Caltex Australia,5.972,13.12,0.4534,3.84,1390,Energy,Oil & Gas Operations,Australia,Australia,2017
Bank Audi,2.758,3.964,0.4456,44.252,1391,Financials,Regional Banks,Asia,Lebanon,2017
LG Household & Health Care,10.8,5.253,0.4898,3.728,1391,Consumer Staples,Household/Personal Care,Asia,South Korea,2017
Colruyt,7.113,10.313,0.4169,4.821,1393,Consumer Staples,Food Retail,Europe,Belgium,2017
Focus Media Information Technology,15.4,1.323,0.5392,1.491,1394,Information Technology,Computer Hardware,Asia,China,2017
OMRON,9.345,7.255,0.4053,5.895,1395,Information Technology,Electronics,Asia,Japan,2017
Tenaris,20.255,4.472,0.0564,14.003,1396,Energy,Oil Services & Equipment,Europe,Luxembourg,2017
Old Republic International,5.233,5.905,0.4667,19.079,1397,Financials,Property & Casualty Insurance,North America,United States,2017
Fukuoka Financial Group,3.653,2.098,0.3087,155.959,1398,Financials,Regional Banks,Asia,Japan,2017
Baiyin Nonferrous Group,13.433,8.717,0.0176,6.29,1399,Materials,Aluminum,Asia,China,2017
Dentsply Sirona,14.346,3.745,0.4299,11.656,1400,,Precision Healthcare Equipment,North America,United States,2017
Tractor Supply,9.086,6.78,0.4371,2.76,1401,Consumer Discretionary,Specialty Stores,North America,United States,2017
Grupo Carso,10.51,5.092,0.5095,5.318,1402,Industrials,Conglomerates,North America,Mexico,2017
Materials Industry Zhongda Group,4.516,29.17,0.2209,12.604,1402,Industrials,Trading Companies,Asia,China,2017
Almarai,15.054,3.919,0.5373,7.736,1404,Consumer Staples,Food Processing,Asia,Saudi Arabia,2017
Open Text,8.697,1.958,1.0998,6.882,1405,Information Technology,Software & Programming,North America,Canada,2017
RHB Bank,4.756,2.579,0.4028,52.759,1405,Financials,Regional Banks,Asia,Malaysia,2017
Targa Resources,11.635,6.688,-0.1874,12.976,1407,Energy,Oil & Gas Operations,North America,United States,2017
Taylor Wimpey,7.886,4.96,0.7951,5.865,1408,Industrials,Construction Services,Europe,United Kingdom,2017
Banca Mediolanum,5.445,1.747,0.4353,44.197,1409,Financials,Life & Health Insurance,Europe,Italy,2017
Expeditors International,10.077,6.098,0.4308,2.791,1409,Industrials,Air Courier,North America,United States,2017
Inner Mongolia Baotou Steel,14.631,3.812,-0.2672,21.142,1409,Materials,Iron & Steel,,Mongolia,2017
Metro,7.008,9.659,0.4298,4.332,1412,Consumer Staples,Food Retail,North America,Canada,2017
Stockland Australia,8.604,1.808,0.6653,12.623,1413,Financials,Real Estate,Australia,Australia,2017
Olam International,3.804,14.911,0.2545,16.245,1414,Consumer Staples,Food Processing,Asia,Singapore,2017
Pinnacle West,9.4,3.498,0.442,16.004,1415,Utilities,Electric Utilities,North America,United States,2017
Chang Hwa Bank,5.474,1.337,0.3747,62.216,1416,Financials,Regional Banks,Asia,Taiwan,2017
Samsung SDS,9.375,7.051,0.3998,5.665,1416,Information Technology,Computer Services,Asia,South Korea,2017
Brambles,11.183,5.529,0.4241,7.587,1418,Consumer Discretionary,Business & Personal Services,Australia,Australia,2017
Verisk Analytics,13.189,1.995,0.5885,4.631,1418,Consumer Discretionary,Business & Personal Services,North America,United States,2017
Sealed Air,8.3,6.778,0.4725,7.389,1420,Materials,Containers & Packaging,North America,United States,2017
Union Bank of India,1.624,5.537,0.2072,61.759,1420,Financials,Regional Banks,Asia,India,2017
British Land,8.269,0.851,0.474,17.27,1422,Financials,Real Estate,Europe,United Kingdom,2017
Seiko Epson,8.284,9.395,0.3478,8.441,1423,Industrials,Business Products & Supplies,Asia,Japan,2017
Barratt Developments,6.969,5.635,0.771,7.631,1424,Industrials,Construction Services,Europe,United Kingdom,2017
NSK,7.264,8.628,0.4342,8.986,1425,Industrials,Other Industrial Equipment,Asia,Japan,2017
Equifax,16.333,3.181,0.4888,6.664,1426,Consumer Discretionary,Business & Personal Services,North America,United States,2017
Transurban Group,18.247,1.85,0.0952,17.093,1426,Industrials,Other Transportation,Australia,Australia,2017
Perrigo,9.858,5.643,-1.5025,17.468,1428,Health Care,Pharmaceuticals,Europe,Ireland,2017
Rite Aid,4.847,32.574,0.0908,11.659,1429,Consumer Staples,Drug Retail,North America,United States,2017
Coloplast,16.292,2.196,0.485,1.827,1430,Health Care,Medical Equipment & Supplies,Europe,Denmark,2017
Newcrest Mining,14.02,3.556,0.4389,11.195,1431,Materials,Diversified Metals & Mining,Australia,Australia,2017
China Merchants Holdings,7.57,1.028,0.7078,13.299,1432,Industrials,Other Transportation,Asia,Hong Kong,2017
Dassault Aviation,10.374,4.041,0.4193,14.434,1433,Industrials,Aerospace & Defense,Europe,France,2017
UBI Banca,3.572,4.606,-0.9183,118.537,1434,Financials,Regional Banks,Europe,Italy,2017
Bajaj Auto,12.765,3.48,0.578,3.069,1435,Consumer Discretionary,Recreational Products,Asia,India,2017
Sabesp,7.361,4.044,0.8455,11.617,1436,Utilities,Diversified Utilities,South America,Brazil,2017
Steel Dynamics,8.54,7.777,0.3821,6.424,1437,Materials,Iron & Steel,North America,United States,2017
Ramsay Health Care,10.51,6.564,0.3579,5.929,1438,Health Care,Healthcare Services,Australia,Australia,2017
Equinix,31.126,3.612,0.1244,12.608,1439,Information Technology,Computer Services,North America,United States,2017
Coach,11.121,4.547,0.5111,4.679,1440,Consumer Discretionary,Apparel/Footwear Retail,North America,United States,2017
Cosmo Energy Holdings,1.445,19.68,0.2008,13.483,1441,Energy,Oil & Gas Operations,Asia,Japan,2017
ISS,7.233,11.758,0.3292,6.965,1441,Consumer Discretionary,Business & Personal Services,Europe,Denmark,2017
Coca-Cola HBC,9.388,6.881,0.3831,6.924,1443,Consumer Staples,Beverages,Europe,Switzerland,2017
