Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
BMW Group,60.382,102.215,7.0627,197.883,45,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Harald Krüger,http://www.forbes.com/companies/bmw-group/,0.0356912923293057,0.0690965122535831
Pfizer,205.746,48.851,7.743,167.46,46,Health Care,Pharmaceuticals,North America,United States,New York,New York,Ian Read,http://www.forbes.com/companies/pfizer/,0.0462379075600143,0.158502384802768
Novartis,203.776,49.428,17.6454,131.905,47,Health Care,Pharmaceuticals,Europe,Switzerland,Switzerland,,Joseph Jimenez,http://www.forbes.com/companies/novartis/,0.133773549145218,0.356991988346686
MetLife,51.434,68.017,5.268,884.178,48,Financials,Diversified Insurance,North America,United States,New York,New York,Steven Kandarian,http://www.forbes.com/companies/metlife/,0.00595807631495016,0.0774512254289369
China Life Insurance,55.652,81.487,5.5731,377.035,49,Financials,Life & Health Insurance,Asia,China,China,,Zhi Xia,http://www.forbes.com/companies/china-life-insurance/,0.0147813863434429,0.0683925043258434
Royal Dutch Shell,209.987,264.871,2.0751,340.157,50,Energy,Oil & Gas Operations,Europe,Netherlands,Netherlands,,Ben Van Beurden,http://www.forbes.com/companies/royal-dutch-shell/,0.00610041833623885,0.00783437975467303
Siemens,91.812,85.511,6.4639,133.926,51,Industrials,Conglomerates,Europe,Germany,Germany,,Josef Kaeser,http://www.forbes.com/companies/siemens/,0.048264713349163,0.0755914443755774
Royal Bank of Canada,90.722,33.09,7.6505,852.977,52,Financials,Major Banks,North America,Canada,Canada,,David Mckay,http://www.forbes.com/companies/royal-bank-of-canada/,0.00896917501878714,0.231202780296162
Gazprom,57.146,102.051,4.8774,250.24,53,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Alexei Miller,http://www.forbes.com/companies/gazprom/,0.0194908887468031,0.0477937501837317
UBS,63.689,39.93,6.4411,941.877,54,Financials,Regional Banks,Europe,Switzerland,Switzerland,,Sergio Ermotti,http://www.forbes.com/companies/ubs/,0.00683857871038363,0.161309792136238
ING Group,49.891,55.674,5.4636,914.414,55,Financials,Major Banks,Europe,Netherlands,Netherlands,,Ralph Hamers,http://www.forbes.com/companies/ing-group/,0.00597497413644148,0.0981355749541976
Anheuser-Busch InBev,204.589,43.604,8.2672,136.532,56,Consumer Staples,Beverages,Europe,Belgium,Belgium,,Carlos De Brito,http://www.forbes.com/companies/anheuser-busch-inbev/,0.0605513725719978,0.189597284652784
Shanghai Pudong Development,55.209,41.393,8.0514,776.819,57,Financials,Regional Banks,Asia,China,China,,Guang Geng,http://www.forbes.com/companies/shanghai-pudong-development/,0.0103645765615929,0.19451114922813
Commonwealth Bank,99.171,33.133,6.863,657.032,58,Financials,Major Banks,Australia,Australia,Australia,,Ian Narev,http://www.forbes.com/companies/commonwealth-bank/,0.0104454577554822,0.207134880632602
Industrial Bank,47.33,45.031,8.0431,832.046,59,Financials,Regional Banks,Asia,China,China,,Jian Gao,http://www.forbes.com/companies/industrial-bank/,0.00966665304562488,0.178612511381049
Intel,149.259,56.276,11.474,105.467,60,Information Technology,Semiconductors,North America,United States,,,Brian Krzanich,http://www.forbes.com/companies/intel/,0.108792323665222,0.203887980666714
Citic Pacific,45.38,53.764,5.3933,877.829,61,Materials,Iron & Steel,Asia,Hong Kong,Hong Kong,,Zhen Chang,http://www.forbes.com/companies/citic-pacific/,0.0061439072985741,0.100314336730898
